external_post_id,source_subject_key,raw_subject_label,canonical_code,mapping_status,question,answer,explanation,answer_explanation,listening_script,listening_audio,other,inventory_status
1621,생명과학1,생명과학1,life_science_1,provisional,1,0,0,1,0,0,0,QUESTION_ANSWER
1621,생명과학2,생명과학2,life_science_2,provisional,1,0,0,1,0,0,0,QUESTION_ANSWER
1621,지구과학1,지구과학1,earth_science_1,provisional,1,0,0,1,0,0,0,QUESTION_ANSWER
1621,지구과학2,지구과학2,earth_science_2,provisional,1,0,0,1,0,0,0,QUESTION_ANSWER
1621,화학1,화학1,chemistry_1,provisional,1,0,0,1,0,0,0,QUESTION_ANSWER
1621,화학2,화학2,chemistry_2,provisional,1,0,0,1,0,0,0,QUESTION_ANSWER
1621,경제,경제,economics,provisional,1,0,0,1,0,0,0,QUESTION_ANSWER
1621,동아시아사,동아시아사,east_asian_history,provisional,1,0,0,1,0,0,0,QUESTION_ANSWER
1621,사회문화,사회문화,society_culture,provisional,1,0,0,1,0,0,0,QUESTION_ANSWER
1621,생활과윤리,생활과윤리,life_ethics,provisional,1,0,0,1,0,0,0,QUESTION_ANSWER
1621,세계사,세계사,world_history,provisional,1,0,0,1,0,0,0,QUESTION_ANSWER
1621,세계지리,세계지리,world_geography,provisional,1,0,0,1,0,0,0,QUESTION_ANSWER
1621,윤리와사상,윤리와사상,ethics_thought,provisional,1,0,0,1,0,0,0,QUESTION_ANSWER
1621,정치와법,정치와법,politics_law,provisional,1,0,0,1,0,0,0,QUESTION_ANSWER
1621,한국지리,한국지리,korean_geography,provisional,1,0,0,1,0,0,0,QUESTION_ANSWER
1634,국어(화작),국어(화작),korean,provisional,1,0,0,0,0,0,0,QUESTION_ONLY
1634,국어(언매),국어(언매),korean,provisional,1,0,0,0,0,0,0,QUESTION_ONLY
1634,국어,국어,korean,provisional,0,0,0,1,0,0,0,REVIEW_REQUIRED
1634,수학(기하),수학(기하),math,provisional,1,0,0,0,0,0,0,QUESTION_ONLY
1634,수학(미적),수학(미적),math,provisional,1,0,0,0,0,0,0,QUESTION_ONLY
1634,수학(확통),수학(확통),math,provisional,1,0,0,0,0,0,0,QUESTION_ONLY
1634,수학,수학,math,provisional,0,0,0,1,0,0,0,REVIEW_REQUIRED
1634,영어,영어,english,provisional,1,0,0,1,1,0,0,QUESTION_ANSWER
1634,한국사,한국사,korean_history,provisional,1,0,0,1,0,0,0,QUESTION_ANSWER
1634,물리학1,물리학1,physics_1,provisional,1,0,0,1,0,0,0,QUESTION_ANSWER
1634,물리학2,물리학2,physics_2,provisional,1,0,0,1,0,0,0,QUESTION_ANSWER
1634,생명과학1,생명과학1,life_science_1,provisional,1,0,0,1,0,0,0,QUESTION_ANSWER
1634,생명과학2,생명과학2,life_science_2,provisional,1,0,0,1,0,0,0,QUESTION_ANSWER
1634,지구과학1,지구과학1,earth_science_1,provisional,1,0,0,1,0,0,0,QUESTION_ANSWER
1634,지구과학2,지구과학2,earth_science_2,provisional,1,0,0,1,0,0,0,QUESTION_ANSWER
1634,화학1,화학1,chemistry_1,provisional,1,0,0,1,0,0,0,QUESTION_ANSWER
1634,화학2,화학2,chemistry_2,provisional,1,0,0,1,0,0,0,QUESTION_ANSWER
1634,경제,경제,economics,provisional,1,0,0,1,0,0,0,QUESTION_ANSWER
1634,동아시아사,동아시아사,east_asian_history,provisional,1,0,0,1,0,0,0,QUESTION_ANSWER
1634,사회문화,사회문화,society_culture,provisional,1,0,0,1,0,0,0,QUESTION_ANSWER
1634,생활과윤리,생활과윤리,life_ethics,provisional,1,0,0,1,0,0,0,QUESTION_ANSWER
1634,세계사,세계사,world_history,provisional,1,0,0,1,0,0,0,QUESTION_ANSWER
1634,세계지리,세계지리,world_geography,provisional,1,0,0,1,0,0,0,QUESTION_ANSWER
1634,윤리와사상,윤리와사상,ethics_thought,provisional,1,0,0,1,0,0,0,QUESTION_ANSWER
1634,정치와법,정치와법,politics_law,provisional,1,0,0,1,0,0,0,QUESTION_ANSWER
1634,한국지리,한국지리,korean_geography,provisional,1,0,0,1,0,0,0,QUESTION_ANSWER
1646,국어,국어,korean,provisional,1,0,0,1,0,0,0,QUESTION_ANSWER
1646,수학,수학,math,provisional,1,0,0,1,0,0,0,QUESTION_ANSWER
1646,영어,영어,english,provisional,1,0,0,1,0,0,0,QUESTION_ANSWER
1646,한국사,한국사,korean_history,provisional,1,0,0,1,0,0,0,QUESTION_ANSWER
1646,물리학1,물리학1,physics_1,provisional,1,0,0,1,0,0,0,QUESTION_ANSWER
1646,물리학2,물리학2,physics_2,provisional,1,0,0,1,0,0,0,QUESTION_ANSWER
1646,생명과학1,생명과학1,life_science_1,provisional,1,0,0,1,0,0,0,QUESTION_ANSWER
1646,생명과학2,생명과학2,life_science_2,provisional,1,0,0,1,0,0,0,QUESTION_ANSWER
1646,지구과학1,지구과학1,earth_science_1,provisional,1,0,0,1,0,0,0,QUESTION_ANSWER
1646,지구과학2,지구과학2,earth_science_2,provisional,1,0,0,1,0,0,0,QUESTION_ANSWER
1646,화학1,화학1,chemistry_1,provisional,1,0,0,1,0,0,0,QUESTION_ANSWER
1646,화학2,화학2,chemistry_2,provisional,1,0,0,1,0,0,0,QUESTION_ANSWER
1646,경제,경제,economics,provisional,1,0,0,1,0,0,0,QUESTION_ANSWER
1646,동아시아사,동아시아사,east_asian_history,provisional,1,0,0,1,0,0,0,QUESTION_ANSWER
1646,사회문화,사회문화,society_culture,provisional,0,0,0,1,0,0,0,REVIEW_REQUIRED
1646,생활과윤리,생활과윤리,life_ethics,provisional,1,0,0,1,0,0,0,QUESTION_ANSWER
1646,세계사,세계사,world_history,provisional,1,0,0,1,0,0,0,QUESTION_ANSWER
1646,세계지리,세계지리,world_geography,provisional,1,0,0,1,0,0,0,QUESTION_ANSWER
1646,윤리와사상,윤리와사상,ethics_thought,provisional,1,0,0,1,0,0,0,QUESTION_ANSWER
1646,정치와법,정치와법,politics_law,provisional,1,0,0,1,0,0,0,QUESTION_ANSWER
1646,한국지리,한국지리,korean_geography,provisional,1,0,0,1,0,0,0,QUESTION_ANSWER
1649,국어(언매),국어(언매),korean,provisional,1,0,0,1,0,0,0,QUESTION_ANSWER
1649,국어(화작),국어(화작),korean,provisional,1,0,0,1,0,0,0,QUESTION_ANSWER
1649,수학(기하),수학(기하),math,provisional,1,0,0,1,0,0,0,QUESTION_ANSWER
1649,수학(미적),수학(미적),math,provisional,1,0,0,0,0,0,0,QUESTION_ONLY
1649,수학(확통),수학(확통),math,provisional,1,0,0,1,0,0,0,QUESTION_ANSWER
1649,영어,영어,english,provisional,1,0,0,1,1,0,0,QUESTION_ANSWER
1649,한국사,한국사,korean_history,provisional,1,0,0,1,0,0,0,QUESTION_ANSWER
1649,물리학1,물리학1,physics_1,provisional,1,0,0,1,0,0,0,QUESTION_ANSWER
1649,물리학2,물리학2,physics_2,provisional,1,0,0,1,0,0,0,QUESTION_ANSWER
1649,생명과학1,생명과학1,life_science_1,provisional,1,0,0,1,0,0,0,QUESTION_ANSWER
1649,생명과학2,생명과학2,life_science_2,provisional,1,0,0,1,0,0,0,QUESTION_ANSWER
1649,지구과학1,지구과학1,earth_science_1,provisional,1,0,0,1,0,0,0,QUESTION_ANSWER
1649,지구과학2,지구과학2,earth_science_2,provisional,1,0,0,1,0,0,0,QUESTION_ANSWER
1649,화학1,화학1,chemistry_1,provisional,1,0,0,1,0,0,0,QUESTION_ANSWER
1649,화학2,화학2,chemistry_2,provisional,1,0,0,1,0,0,0,QUESTION_ANSWER
1649,경제,경제,economics,provisional,1,0,0,1,0,0,0,QUESTION_ANSWER
1649,동아시아사,동아시아사,east_asian_history,provisional,1,0,0,1,0,0,0,QUESTION_ANSWER
1649,사회문화,사회문화,society_culture,provisional,1,0,0,1,0,0,0,QUESTION_ANSWER
1649,생활과윤리,생활과윤리,life_ethics,provisional,1,0,0,1,0,0,0,QUESTION_ANSWER
1649,세계사,세계사,world_history,provisional,1,0,0,1,0,0,0,QUESTION_ANSWER
1649,세계지리,세계지리,world_geography,provisional,1,0,0,1,0,0,0,QUESTION_ANSWER
1649,윤리와사상,윤리와사상,ethics_thought,provisional,1,0,0,1,0,0,0,QUESTION_ANSWER
1649,정치와법,정치와법,politics_law,provisional,1,0,0,1,0,0,0,QUESTION_ANSWER
1649,한국지리,한국지리,korean_geography,provisional,1,0,0,1,0,0,0,QUESTION_ANSWER
