year,grade,exam_family,month,external_post_id,source_content_key,source_subject_key,raw_subject_label,canonical_code,mapping_status,source_resource_key,resource_type,source_label,post_url,source_url,file_url,link_kind,link_status,published_at,source_updated_at,feed_updated_at,is_active
2024,3,national_mock,3,1614,main,경제,경제,economics,provisional,TeF1O/btsGbTlryX9,answer_explanation,"2024_3월_사_경제 정답,해설.pdf",https://legendstudy.com/1614,"https://blog.kakaocdn.net/dna/TeF1O/btsGbTlryX9/x/2024_3월_사_경제 정답,해설.pdf",,unknown,unchecked,2024-03-28,2024-03-28,2024-03-28,False
2024,3,national_mock,3,1614,main,동아시아사,동아시아사,east_asian_history,provisional,urip2/btsGbFt9RCm,question,2024_3월_사_동아시아사 문제.pdf,https://legendstudy.com/1614,https://blog.kakaocdn.net/dna/urip2/btsGbFt9RCm/x/2024_3월_사_동아시아사 문제.pdf,,unknown,unchecked,2024-03-28,2024-03-28,2024-03-28,False
2024,3,national_mock,3,1614,main,동아시아사,동아시아사,east_asian_history,provisional,nwLOH/btsGcMsyzuJ,answer_explanation,"2024_3월_사_동아시아사 정답,해설.pdf",https://legendstudy.com/1614,"https://blog.kakaocdn.net/dna/nwLOH/btsGcMsyzuJ/x/2024_3월_사_동아시아사 정답,해설.pdf",,unknown,unchecked,2024-03-28,2024-03-28,2024-03-28,False
2024,3,national_mock,3,1614,main,사회문화,사회문화,society_culture,provisional,tD3z1/btsGcf2RJMC,question,2024_3월_사_사회문화 문제.pdf,https://legendstudy.com/1614,https://blog.kakaocdn.net/dna/tD3z1/btsGcf2RJMC/x/2024_3월_사_사회문화 문제.pdf,,unknown,unchecked,2024-03-28,2024-03-28,2024-03-28,False
2024,3,national_mock,3,1614,main,사회문화,사회문화,society_culture,provisional,bfe9bH/btsF9dFTnwG,answer_explanation,"2024_3월_사_사회문화 정답,해설.pdf",https://legendstudy.com/1614,"https://blog.kakaocdn.net/dna/bfe9bH/btsF9dFTnwG/x/2024_3월_사_사회문화 정답,해설.pdf",,unknown,unchecked,2024-03-28,2024-03-28,2024-03-28,False
2024,3,national_mock,3,1614,main,생활과윤리,생활과윤리,life_ethics,provisional,0tevc/btsF9wSL036,question,2024_3월_사_생활과윤리 문제.pdf,https://legendstudy.com/1614,https://blog.kakaocdn.net/dna/0tevc/btsF9wSL036/x/2024_3월_사_생활과윤리 문제.pdf,,unknown,unchecked,2024-03-28,2024-03-28,2024-03-28,False
2024,3,national_mock,3,1614,main,생활과윤리,생활과윤리,life_ethics,provisional,y2Lxn/btsF9GVdjwh,answer_explanation,"2024_3월_사_생활과윤리 정답,해설.pdf",https://legendstudy.com/1614,"https://blog.kakaocdn.net/dna/y2Lxn/btsF9GVdjwh/x/2024_3월_사_생활과윤리 정답,해설.pdf",,unknown,unchecked,2024-03-28,2024-03-28,2024-03-28,False
2024,3,national_mock,3,1614,main,세계사,세계사,world_history,provisional,9D1Xt/btsGaEbqDfB,question,2024_3월_사_세계사 문제.pdf,https://legendstudy.com/1614,https://blog.kakaocdn.net/dna/9D1Xt/btsGaEbqDfB/x/2024_3월_사_세계사 문제.pdf,,unknown,unchecked,2024-03-28,2024-03-28,2024-03-28,False
2024,3,national_mock,3,1614,main,세계사,세계사,world_history,provisional,bGboxS/btsGaCSdrIk,answer_explanation,"2024_3월_사_세계사 정답,해설.pdf",https://legendstudy.com/1614,"https://blog.kakaocdn.net/dna/bGboxS/btsGaCSdrIk/x/2024_3월_사_세계사 정답,해설.pdf",,unknown,unchecked,2024-03-28,2024-03-28,2024-03-28,False
2024,3,national_mock,3,1614,main,세계지리,세계지리,world_geography,provisional,TCkvL/btsGaxjb5A1,question,2024_3월_사_세계지리 문제.pdf,https://legendstudy.com/1614,https://blog.kakaocdn.net/dna/TCkvL/btsGaxjb5A1/x/2024_3월_사_세계지리 문제.pdf,,unknown,unchecked,2024-03-28,2024-03-28,2024-03-28,False
